index,year,url,title,timestamp,take_explanation,take,publisher,path,pages,editor,booktitle,biburl,bibsource,author,ENTRYTYPE,ID,doi,volume,series,number,journal,eprint,archiveprefix
10,2018,https://doi.org/10.23919/EUSIPCO.2018.8553178,"""What are You Listening to?"" Explaining Predictions of Deep Machine Listening Systems","Wed, 16 Oct 2019 14:14:50 +0200",Related to attribution in wider sense.,Yes,{IEEE},Feature Attribution\dblp\scan.bib,2260--2264,,"26th European Signal Processing Conference, {EUSIPCO} 2018, Roma,
Italy, September 3-7, 2018",https://dblp.org/rec/conf/eusipco/MishraSD18.bib,"dblp computer science bibliography, https://dblp.org","Saumitra Mishra and
Bob L. Sturm and
Simon Dixon",inproceedings,DBLP:conf/eusipco/MishraSD18,10.23919/EUSIPCO.2018.8553178,,,,,,
11,2018,https://doi.org/10.1109/ICDMW.2018.00108,Explainable Predictions of Adverse Drug Events from Electronic Health Records Via Oracle Coaching,"Thu, 14 Nov 2019 15:37:05 +0100","About global surrogate models, not about attribution.",No,{IEEE},Feature Attribution\dblp\scan.bib,707--714,"Hanghang Tong and
Zhenhui Jessie Li and
Feida Zhu and
Jeffrey Yu","2018 {IEEE} International Conference on Data Mining Workshops, {ICDM}
Workshops, Singapore, Singapore, November 17-20, 2018",https://dblp.org/rec/conf/icdm/CrielaardP18.bib,"dblp computer science bibliography, https://dblp.org","Loes Crielaard and
Panagiotis Papapetrou",inproceedings,DBLP:conf/icdm/CrielaardP18,10.1109/ICDMW.2018.00108,,,,,,
12,2019,https://doi.org/10.1109/ICDM.2019.00202,A Model-Agnostic Approach for Explaining the Predictions on Clustered Data,"Thu, 02 Apr 2020 01:00:00 +0200",Related to attribution via local surrogate model.,Yes,{IEEE},Feature Attribution\dblp\scan.bib,1528--1533,"Jianyong Wang and
Kyuseok Shim and
Xindong Wu","2019 {IEEE} International Conference on Data Mining, {ICDM} 2019,
Beijing, China, November 8-11, 2019",https://dblp.org/rec/conf/icdm/ZhouSC19.bib,"dblp computer science bibliography, https://dblp.org","Zihan Zhou and
Mingxuan Sun and
Jianhua Chen",inproceedings,DBLP:conf/icdm/ZhouSC19,10.1109/ICDM.2019.00202,,,,,,
13,2018,https://doi.org/10.1109/ICHI.2018.00025,Explaining Therapy Predictions with Layer-Wise Relevance Propagation in Neural Networks,"Wed, 16 Oct 2019 14:14:50 +0200",LWRP is an attribution technique.,Yes,{IEEE} Computer Society,Feature Attribution\dblp\scan.bib,152--162,,"{IEEE} International Conference on Healthcare Informatics, {ICHI}
2018, New York City, NY, USA, June 4-7, 2018",https://dblp.org/rec/conf/ichi/YangTWF18.bib,"dblp computer science bibliography, https://dblp.org","Yinchong Yang and
Volker Tresp and
Marius Wunderle and
Peter A. Fasching",inproceedings,DBLP:conf/ichi/YangTWF18,10.1109/ICHI.2018.00025,,,,,,
14,2019,https://openreview.net/forum?id=SkEqro0ctQ,Hierarchical interpretations for neural network predictions,"Thu, 25 Jul 2019 13:03:15 +0200",Features attribution in a wider sense.,Yes,OpenReview.net,Feature Attribution\dblp\scan.bib,,,"7th International Conference on Learning Representations, {ICLR} 2019,
New Orleans, LA, USA, May 6-9, 2019",https://dblp.org/rec/conf/iclr/SinghMY19.bib,"dblp computer science bibliography, https://dblp.org","Chandan Singh and
W. James Murdoch and
Bin Yu",inproceedings,DBLP:conf/iclr/SinghMY19,,,,,,,
15,2019,https://doi.org/10.1109/ICMLA.2019.00235,Understanding Early Childhood Obesity via Interpretation of Machine Learning Model Predictions,"Mon, 24 Feb 2020 16:18:11 +0100",Focus on application other than time series.,No,{IEEE},Feature Attribution\dblp\scan.bib,1438--1443,"M. Arif Wani and
Taghi M. Khoshgoftaar and
Dingding Wang and
Huanjing Wang and
Naeem Seliya","18th {IEEE} International Conference On Machine Learning And Applications,
{ICMLA} 2019, Boca Raton, FL, USA, December 16-19, 2019",https://dblp.org/rec/conf/icmla/PangFLM19.bib,"dblp computer science bibliography, https://dblp.org","Xueqin Pang and
Christopher B. Forrest and
F{\'{e}}lice L{\^{e}}{-}Scherban and
Aaron J. Masino",inproceedings,DBLP:conf/icmla/PangFLM19,10.1109/ICMLA.2019.00235,,,,,,
16,2018,https://doi.org/10.1007/978-3-030-04221-9\_8,BayesGrad: Explaining Predictions of Graph Convolutional Networks,"Sun, 02 Jun 2019 21:17:55 +0200",Could be related to feature attribution.,Yes,Springer,Feature Attribution\dblp\scan.bib,81--92,"Long Cheng and
Andrew Chi{-}Sing Leung and
Seiichi Ozawa","Neural Information Processing - 25th International Conference, {ICONIP}
2018, Siem Reap, Cambodia, December 13-16, 2018, Proceedings, Part
{V}",https://dblp.org/rec/conf/iconip/AkitaNKSMBK18.bib,"dblp computer science bibliography, https://dblp.org","Hirotaka Akita and
Kosuke Nakago and
Tomoki Komatsu and
Yohei Sugawara and
Shin{-}ichi Maeda and
Yukino Baba and
Hisashi Kashima",inproceedings,DBLP:conf/iconip/AkitaNKSMBK18,10.1007/978-3-030-04221-9\_8,11305,Lecture Notes in Computer Science,,,,
17,2019,https://doi.org/10.24963/ijcai.2019/932,Explainable Deep Neural Networks for Multivariate Time Series Predictions,"Tue, 20 Aug 2019 16:18:18 +0200",Saliency maps are related to feature attribution.,Yes,ijcai.org,Feature Attribution\dblp\scan.bib,6488--6490,Sarit Kraus,"Proceedings of the Twenty-Eighth International Joint Conference on
Artificial Intelligence, {IJCAI} 2019, Macao, China, August 10-16,
2019",https://dblp.org/rec/conf/ijcai/AssafS19.bib,"dblp computer science bibliography, https://dblp.org","Roy Assaf and
Anika Schumann",inproceedings,DBLP:conf/ijcai/AssafS19,10.24963/ijcai.2019/932,,,,,,
18,2019,https://doi.org/10.1109/IJCNN.2019.8851770,Contrastive Relevance Propagation for Interpreting Predictions by a Single-Shot Object Detector,"Wed, 16 Oct 2019 14:14:55 +0200","Related to LWRP, but to specific and not fit for use case.",No,{IEEE},Feature Attribution\dblp\scan.bib,1--9,,"International Joint Conference on Neural Networks, {IJCNN} 2019 Budapest,
Hungary, July 14-19, 2019",https://dblp.org/rec/conf/ijcnn/TsunakawaKLSM19.bib,"dblp computer science bibliography, https://dblp.org","Hideomi Tsunakawa and
Yoshitaka Kameya and
Hanju Lee and
Yosuke Shinya and
Naoki Mitsumoto",inproceedings,DBLP:conf/ijcnn/TsunakawaKLSM19,10.1109/IJCNN.2019.8851770,,,,,,
19,2016,https://doi.org/10.1145/2939672.2939778,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier","Tue, 06 Nov 2018 16:59:37 +0100",Theoretical and methodological contribution.,Yes,{ACM},Feature Attribution\dblp\scan.bib,1135--1144,"Balaji Krishnapuram and
Mohak Shah and
Alexander J. Smola and
Charu C. Aggarwal and
Dou Shen and
Rajeev Rastogi","Proceedings of the 22nd {ACM} {SIGKDD} International Conference on
Knowledge Discovery and Data Mining, San Francisco, CA, USA, August
13-17, 2016",https://dblp.org/rec/conf/kdd/Ribeiro0G16.bib,"dblp computer science bibliography, https://dblp.org","Marco T{\'{u}}lio Ribeiro and
Sameer Singh and
Carlos Guestrin",inproceedings,DBLP:conf/kdd/Ribeiro0G16,10.1145/2939672.2939778,,,,,,
20,2017,https://doi.org/10.1145/3097983.3098039,Interpretable Predictions of Tree-based Ensembles via Actionable Feature Tweaking,"Tue, 06 Nov 2018 16:59:35 +0100","About counterfactual explanations, not feature attribution.",No,{ACM},Feature Attribution\dblp\scan.bib,465--474,,"Proceedings of the 23rd {ACM} {SIGKDD} International Conference on
Knowledge Discovery and Data Mining, Halifax, NS, Canada, August 13
- 17, 2017",https://dblp.org/rec/conf/kdd/TolomeiSHL17.bib,"dblp computer science bibliography, https://dblp.org","Gabriele Tolomei and
Fabrizio Silvestri and
Andrew Haines and
Mounia Lalmas",inproceedings,DBLP:conf/kdd/TolomeiSHL17,10.1145/3097983.3098039,,,,,,
21,2019,https://doi.org/10.1117/12.2512752,Visualizing and explaining deep learning predictions for pneumonia detection in pediatric chest radiographs,"Fri, 27 Mar 2020 00:00:00 +0100",Focus is on visualisation.,No,{SPIE},Feature Attribution\dblp\scan.bib,109500S,"Kensaku Mori and
Horst K. Hahn","Medical Imaging 2019: Computer-Aided Diagnosis, San Diego, California,
United States, 16-21 February 2019",https://dblp.org/rec/conf/micad/RajaramanCTA19.bib,"dblp computer science bibliography, https://dblp.org","Sivaramakrishnan Rajaraman and
Sema Candemir and
George R. Thoma and
Sameer K. Antani",inproceedings,DBLP:conf/micad/RajaramanCTA19,10.1117/12.2512752,10950,{SPIE} Proceedings,,,,
22,2017,http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions,A Unified Approach to Interpreting Model Predictions,"Fri, 06 Mar 2020 00:00:00 +0100",Theoretical and methodological contribution.,Yes,,Feature Attribution\dblp\scan.bib,4765--4774,"Isabelle Guyon and
Ulrike von Luxburg and
Samy Bengio and
Hanna M. Wallach and
Rob Fergus and
S. V. N. Vishwanathan and
Roman Garnett","Advances in Neural Information Processing Systems 30: Annual Conference
on Neural Information Processing Systems 2017, 4-9 December 2017,
Long Beach, CA, {USA}",https://dblp.org/rec/conf/nips/LundbergL17.bib,"dblp computer science bibliography, https://dblp.org","Scott M. Lundberg and
Su{-}In Lee",inproceedings,DBLP:conf/nips/LundbergL17,,,,,,,
23,2019,https://doi.org/10.1007/978-3-030-32236-6\_56,Using Aspect-Based Analysis for Explainable Sentiment Predictions,"Tue, 01 Oct 2019 13:44:51 +0200",Not related to feature attribution.,No,Springer,Feature Attribution\dblp\scan.bib,617--627,"Jie Tang and
Min{-}Yen Kan and
Dongyan Zhao and
Sujian Li and
Hongying Zan","Natural Language Processing and Chinese Computing - 8th {CCF} International
Conference, {NLPCC} 2019, Dunhuang, China, October 9-14, 2019, Proceedings,
Part {II}",https://dblp.org/rec/conf/nlpcc/SilveiraUA19.bib,"dblp computer science bibliography, https://dblp.org","Thiago De Sousa Silveira and
Hans Uszkoreit and
Renlong Ai",inproceedings,DBLP:conf/nlpcc/SilveiraUA19,10.1007/978-3-030-32236-6\_56,11839,Lecture Notes in Computer Science,,,,
24,2002,https://doi.org/10.1007/3-540-45681-3\_37,Explaining Predictions from a Neural Network Ensemble One at a Time,"Tue, 14 May 2019 10:00:47 +0200",Not about attribution.,No,Springer,Feature Attribution\dblp\scan.bib,449--460,"Tapio Elomaa and
Heikki Mannila and
Hannu Toivonen","Principles of Data Mining and Knowledge Discovery, 6th European Conference,
{PKDD} 2002, Helsinki, Finland, August 19-23, 2002, Proceedings",https://dblp.org/rec/conf/pkdd/WallCW02.bib,"dblp computer science bibliography, https://dblp.org","Robert Wall and
Padraig Cunningham and
Paul Walsh",inproceedings,DBLP:conf/pkdd/WallCW02,10.1007/3-540-45681-3\_37,2431,Lecture Notes in Computer Science,,,,
25,2016,https://doi.org/10.18653/v1/W16-1601,Explaining Predictions of Non-Linear Classifiers in NLP,"Wed, 25 Sep 2019 01:00:00 +0200",Different application (NLP).,No,Association for Computational Linguistics,Feature Attribution\dblp\scan.bib,1--7,"Phil Blunsom and
Kyunghyun Cho and
Shay B. Cohen and
Edward Grefenstette and
Karl Moritz Hermann and
Laura Rimell and
Jason Weston and
Scott Wen{-}tau Yih","Proceedings of the 1st Workshop on Representation Learning for NLP,
Rep4NLP@ACL 2016, Berlin, Germany, August 11, 2016",https://dblp.org/rec/conf/rep4nlp/ArrasHMMS16.bib,"dblp computer science bibliography, https://dblp.org","Leila Arras and
Franziska Horn and
Gr{\'{e}}goire Montavon and
Klaus{-}Robert M{\""{u}}ller and
Wojciech Samek",inproceedings,DBLP:conf/rep4nlp/ArrasHMMS16,10.18653/v1/W16-1601,,,,,,
26,2019,https://doi.org/10.1145/3328519.3329130,Explaining Entity Resolution Predictions: Where are we and What needs to be done?,"Wed, 25 Sep 2019 13:30:59 +0200",Not about attribution.,No,{ACM},Feature Attribution\dblp\scan.bib,10:1--10:6,,"Proceedings of the Workshop on Human-In-the-Loop Data Analytics, HILDA@SIGMOD
2019, Amsterdam, The Netherlands, July 5, 2019",https://dblp.org/rec/conf/sigmod/Thirumuruganathan19.bib,"dblp computer science bibliography, https://dblp.org","Saravanan Thirumuruganathan and
Mourad Ouzzani and
Nan Tang",inproceedings,DBLP:conf/sigmod/Thirumuruganathan19,10.1145/3328519.3329130,,,,,,
27,2019,https://doi.org/10.1109/SMARTCOMP.2019.00033,NeuroMask: Explaining Predictions of Deep Neural Networks through Mask Learning,"Wed, 16 Oct 2019 14:14:54 +0200",Not about attribution.,No,{IEEE},Feature Attribution\dblp\scan.bib,81--86,,"{IEEE} International Conference on Smart Computing, {SMARTCOMP} 2019,
Washington, DC, USA, June 12-15, 2019",https://dblp.org/rec/conf/smartcomp/AlzantotWJS19.bib,"dblp computer science bibliography, https://dblp.org","Moustafa Alzantot and
Amy Widdicombe and
Simon Julier and
Mani B. Srivastava",inproceedings,DBLP:conf/smartcomp/AlzantotWJS19,10.1109/SMARTCOMP.2019.00033,,,,,,
28,2020,https://doi.org/10.1007/978-3-030-38919-2\_26,Explaining Single Predictions: A Faster Method,"Tue, 21 Jan 2020 16:23:03 +0100",About attribution techniques.,Yes,Springer,Feature Attribution\dblp\scan.bib,313--324,"Alexander Chatzigeorgiou and
Riccardo Dondi and
Herodotos Herodotou and
Christos A. Kapoutsis and
Yannis Manolopoulos and
George A. Papadopoulos and
Florian Sikora","{SOFSEM} 2020: Theory and Practice of Computer Science - 46th International
Conference on Current Trends in Theory and Practice of Informatics,
{SOFSEM} 2020, Limassol, Cyprus, January 20-24, 2020, Proceedings",https://dblp.org/rec/conf/sofsem/FerrettiniAS20.bib,"dblp computer science bibliography, https://dblp.org","Gabriel Ferrettini and
Julien Aligon and
Chantal Soul{\'{e}}{-}Dupuy",inproceedings,DBLP:conf/sofsem/FerrettiniAS20,10.1007/978-3-030-38919-2\_26,12011,Lecture Notes in Computer Science,,,,
29,2017,https://doi.org/10.18653/v1/w17-5221,Explaining Recurrent Neural Network Predictions in Sentiment Analysis,"Tue, 28 Jan 2020 00:00:00 +0100",Different application.,No,Association for Computational Linguistics,Feature Attribution\dblp\scan.bib,159--168,"Alexandra Balahur and
Saif M. Mohammad and
Erik van der Goot","Proceedings of the 8th Workshop on Computational Approaches to Subjectivity,
Sentiment and Social Media Analysis, WASSA@EMNLP 2017, Copenhagen,
Denmark, September 8, 2017",https://dblp.org/rec/conf/wassa/ArrasMMS17.bib,"dblp computer science bibliography, https://dblp.org","Leila Arras and
Gr{\'{e}}goire Montavon and
Klaus{-}Robert M{\""{u}}ller and
Wojciech Samek",inproceedings,DBLP:conf/wassa/ArrasMMS17,10.18653/v1/w17-5221,,,,,,
30,2016,https://doi.org/10.1186/s12918-016-0302-3,Opening up the blackbox: an interpretable deep neural network-based classifier for cell-type specific enhancer predictions,"Tue, 05 May 2020 01:00:00 +0200","About interpretable models, not attribution.",No,,Feature Attribution\dblp\scan.bib,54,,,https://dblp.org/rec/journals/bmcsb/KimTFHGC16.bib,"dblp computer science bibliography, https://dblp.org","Seong Gon Kim and
Nawanol Theera{-}Ampornpunt and
Chih{-}Hao Fang and
Mrudul Harwani and
Ananth Grama and
Somali Chaterji",article,DBLP:journals/bmcsb/KimTFHGC16,10.1186/s12918-016-0302-3,10,,{S-2},{BMC} Syst. Biol.,,
31,2019,https://doi.org/10.1016/j.compbiolchem.2019.107090,Disorder Atlas: Web-based software for the proteome-based interpretation of intrinsic disorder predictions,"Fri, 13 Mar 2020 00:00:00 +0100",Different application.,No,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/candc/VincentS19.bib,"dblp computer science bibliography, https://dblp.org","Michael Vincent and
Santiago Schnell",article,DBLP:journals/candc/VincentS19,10.1016/j.compbiolchem.2019.107090,83,,,Comput. Biol. Chem.,,
32,2018,http://arxiv.org/abs/1802.08504,Interpretable Charge Predictions for Criminal Cases: Learning to Generate Court Views from Fact Descriptions,"Mon, 13 Aug 2018 01:00:00 +0200",Not about attribution.,No,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1802-08504.bib,"dblp computer science bibliography, https://dblp.org","Hai Ye and
Xin Jiang and
Zhunchen Luo and
Wenhan Chao",article,DBLP:journals/corr/abs-1802-08504,,abs/1802.08504,,,CoRR,1802.08504,arXiv
33,2018,http://arxiv.org/abs/1806.06926,Understanding Patch-Based Learning by Explaining Predictions,"Mon, 24 Jun 2019 01:00:00 +0200",LWRP is an attribution technique.,Yes,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1806-06926.bib,"dblp computer science bibliography, https://dblp.org","Christopher J. Anders and
Gr{\'{e}}goire Montavon and
Wojciech Samek and
Klaus{-}Robert M{\""{u}}ller",article,DBLP:journals/corr/abs-1806-06926,,abs/1806.06926,,,CoRR,1806.06926,arXiv
34,2018,http://arxiv.org/abs/1808.05054,Shedding Light on Black Box Machine Learning Algorithms: Development of an Axiomatic Framework to Assess the Quality of Methods that Explain Individual Predictions,"Sun, 02 Sep 2018 01:00:00 +0200",Theory related to attribution.,Yes,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1808-05054.bib,"dblp computer science bibliography, https://dblp.org",Milo Honegger,article,DBLP:journals/corr/abs-1808-05054,,abs/1808.05054,,,CoRR,1808.05054,arXiv
35,2018,http://arxiv.org/abs/1811.05245,Interpretable Credit Application Predictions With Counterfactual Explanations,"Sat, 24 Nov 2018 00:00:00 +0100","Not about attribution, but counterfactuals.",No,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1811-05245.bib,"dblp computer science bibliography, https://dblp.org","Rory Mc Grath and
Luca Costabello and
Chan Le Van and
Paul Sweeney and
Farbod Kamiab and
Zhao Shen and
Freddy L{\'{e}}cu{\'{e}}",article,DBLP:journals/corr/abs-1811-05245,,abs/1811.05245,,,CoRR,1811.05245,arXiv
36,2018,http://arxiv.org/abs/1811.08011,Explain to Fix: A Framework to Interpret and Correct DNN Object Detector Predictions,"Mon, 26 Nov 2018 00:00:00 +0100",Not about attribution.,No,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1811-08011.bib,"dblp computer science bibliography, https://dblp.org","Denis A. Gudovskiy and
Alec Hodgkinson and
Takuya Yamaguchi and
Yasunori Ishii and
Sotaro Tsukizawa",article,DBLP:journals/corr/abs-1811-08011,,abs/1811.08011,,,CoRR,1811.08011,arXiv
37,2019,http://arxiv.org/abs/1901.08554,Explainable Failure Predictions with RNN Classifiers based on Time Series Data,"Sat, 02 Feb 2019 00:00:00 +0100",Not about attribution.,No,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1901-08554.bib,"dblp computer science bibliography, https://dblp.org","Ioana Giurgiu and
Anika Schumann",article,DBLP:journals/corr/abs-1901-08554,,abs/1901.08554,,,CoRR,1901.08554,arXiv
38,2019,http://arxiv.org/abs/1903.10464,Explaining individual predictions when features are dependent: More accurate approximations to Shapley values,"Tue, 02 Apr 2019 01:00:00 +0200",Theory about attribution.,Yes,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1903-10464.bib,"dblp computer science bibliography, https://dblp.org","Kjersti Aas and
Martin Jullum and
Anders L{\o}land",article,DBLP:journals/corr/abs-1903-10464,,abs/1903.10464,,,CoRR,1903.10464,arXiv
39,2019,http://arxiv.org/abs/1903.12074,Interpretation of machine learning predictions for patient outcomes in electronic health records,"Tue, 23 Jul 2019 01:00:00 +0200","Not about attribution, about feature importance, which is slightly different.",No,,Feature Attribution\dblp\scan.bib,,,,https://dblp.org/rec/journals/corr/abs-1903-12074.bib,"dblp computer science bibliography, https://dblp.org","William G. La Cava and
Christopher R. Bauer and
Jason H. Moore and
Sarah A. Pendergrass",article,DBLP:journals/corr/abs-1903-12074,,abs/1903.12074,,,CoRR,1903.12074,arXiv
